Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
VMC,2014-12-31,2014,Q4,66.52,60.72,0.2841,1.77,7,0.22471,0.12787,0.05036,0.0091,0.00473,1.4492,2.03699,0.24683,0.285,5.71609,31.62058,0.41715,0.00582,0.00698,0.20807,11.02701,19.09538
VMC,2015-03-31,2015,Q1,85,77.97,-0.0033,1.45,5,0.12334,0.01141,-0.06285,-0.00954,-0.00477,0.76769,1.69857,0.27068,-0.2991,4.75876,31.35985,-0.22962,-0.00323,-0.00373,-0.33401,23.77103,258.42113
VMC,2015-06-30,2015,Q2,84.84,77.71,0.064,1.87,6,0.26191,0.17874,0.0538,0.01139,0.00588,-1.11101,2.01761,0.24968,0.35614,6.72519,31.75704,-0.40201,0.00768,-0.00668,0.27607,8.63301,12.32289
VMC,2015-09-30,2015,Q3,86.31,82.68,0.0658,2.06,8,0.2805,0.20401,0.11922,0.02837,0.01489,1.21682,2.77543,0.23803,0.9133,7.78024,32.69009,1.12868,0.01689,0.01855,0.10766,6.4328,8.54803
VMC,2015-12-31,2015,Q4,95.12,88.12,0.1138,1.99,7,0.2962,0.19362,0.10369,0.01996,0.01071,1.84559,3.06833,0.23856,0.64919,6.41661,33.33873,1.22789,0.01274,0.02044,0.15003,7.1869,10.22004
VMC,2016-03-31,2016,Q1,105.68,98.15,0.142,1.78,7,0.21825,0.09806,0.02505,0.00428,0.00229,-3.45887,2.82621,0.24028,0.13957,5.63983,33.03706,-0.48863,0.00566,-0.00811,1.41331,13.36566,24.18081
VMC,2016-06-30,2016,Q2,118.95,112.09,-0.0534,2.1,6,0.30537,0.2125,0.13034,0.02784,0.01504,-0.25467,3.07627,0.23916,0.92108,7.17158,33.57341,-0.23804,0.01865,-0.00391,0.21346,6.86958,9.29904
VMC,2016-09-30,2016,Q3,115.05,106.1,0.0631,2.15,8,0.30175,0.22255,0.14088,0.03153,0.01699,1.14158,2.98344,0.23735,1.05177,7.57892,33.8596,1.21886,0.02057,0.01978,0.18678,6.23595,8.23846
VMC,2017-03-31,2017,Q1,117.34,112.8,0.0535,1.67,7,0.20096,0.08892,0.05706,0.00994,0.00514,-0.86641,3.208,0.26639,0.33283,5.93601,34.08397,-0.29344,0.00911,-0.00454,0.73801,14.42669,29.1734
VMC,2017-06-30,2017,Q2,127.45,118.84,-0.2091,1.57,3,0.28136,0.18355,0.11655,0.02611,0.01217,-0.8054,2.35994,0.3379,0.89167,7.78445,34.75568,-0.73074,0.01585,-0.01001,0.27503,8.29146,11.65619
VMC,2018-12-31,2018,Q4,97.43,93.99,0.5421,1.89,7,0.25301,0.16536,0.11399,0.02384,0.01261,1.1222,1.79096,0.29621,0.9297,8.23947,39.40011,1.05395,0.01674,0.01447,0.29766,10.65006,15.96465
